outcome,weight_class,f1_name,f2_name,winner,loser,method,method_details,end_round,time,total_time
win,Bantamweight,kyung ho kang,michinori tanaka,kyung ho kang,michinori tanaka,S-DEC,,3,5:00,900.0
win,Lightweight,johnny case,kazuki tokudome,johnny case,kazuki tokudome,SUB,Guillotine Choke,2,2:34,454.0
win,Featherweight,maximo blanco,dan hooker,maximo blanco,dan hooker,U-DEC,,3,5:00,900.0
win,Heavyweight,andrei arlovski,antonio silva,andrei arlovski,antonio silva,KO/TKO,Punch,1,2:59,179.0
win,Lightweight,gleison tibau,piotr hallmann,gleison tibau,piotr hallmann,S-DEC,,3,5:00,900.0
win,Lightweight,leonardo santos,efrain escudero,leonardo santos,efrain escudero,U-DEC,,3,5:00,900.0
win,Welterweight,santiago ponzinibbio,wendell oliveira marques,santiago ponzinibbio,wendell oliveira marques,KO/TKO,Punches,1,1:20,80.0
win,Bantamweight,iuri alcantara,russell doane,iuri alcantara,russell doane,U-DEC,,3,5:00,900.0
win,Women's Bantamweight,jessica andrade,larissa pacheco,jessica andrade,larissa pacheco,SUB,Guillotine Choke,1,4:33,273.0
win,Featherweight,godofredo pepey,dashon johnson,godofredo pepey,dashon johnson,SUB,Armbar,1,4:29,269.0
win,Welterweight,george sullivan,igor araujo,george sullivan,igor araujo,KO/TKO,Punch,2,2:31,451.0
win,Lightweight,francisco trinaldo,leandro silva,francisco trinaldo,leandro silva,U-DEC,,3,5:00,900.0
win,Welterweight,sean spencer,paulo thiago,sean spencer,paulo thiago,U-DEC,,3,5:00,900.0
win,Bantamweight,rani yahya,johnny bedford,rani yahya,johnny bedford,SUB,Kimura,2,2:04,424.0
win,Flyweight,demetrious johnson,chris cariaso,demetrious johnson,chris cariaso,SUB,Kimura,2,2:29,449.0
win,Lightweight,donald cerrone,eddie alvarez,donald cerrone,eddie alvarez,U-DEC,,3,5:00,900.0
win,Featherweight,conor mcgregor,dustin poirier,conor mcgregor,dustin poirier,KO/TKO,Punch,1,1:46,106.0
win,Middleweight,yoel romero,tim kennedy,yoel romero,tim kennedy,KO/TKO,Punch,3,0:58,658.0
win,Women's Bantamweight,cat zingano,amanda nunes,cat zingano,amanda nunes,KO/TKO,Punches,3,1:21,681.0
win,Bantamweight,dominick cruz,takeya mizugaki,dominick cruz,takeya mizugaki,KO/TKO,Punches,1,1:01,61.0
win,Lightweight,jorge masvidal,james krause,jorge masvidal,james krause,U-DEC,,3,5:00,900.0
win,Welterweight,stephen thompson,patrick cote,stephen thompson,patrick cote,U-DEC,,3,5:00,900.0
win,Welterweight,brian ebersole,john howard,brian ebersole,john howard,S-DEC,,3,5:00,900.0
win,Lightweight,kevin lee,jon tuck,kevin lee,jon tuck,U-DEC,,3,5:00,900.0
win,Bantamweight,manvel gamburyan,cody gibson,manvel gamburyan,cody gibson,SUB,Guillotine Choke,2,4:56,596.0
win,Welterweight,rick story,gunnar nelson,rick story,gunnar nelson,S-DEC,,5,5:00,1500.0
win,Featherweight,max holloway,akira corassani,max holloway,akira corassani,KO/TKO,Punch,1,3:11,191.0
win,Light Heavyweight,jan blachowicz,ilir latifi,jan blachowicz,ilir latifi,KO/TKO,Kick,1,1:58,118.0
win,Featherweight,mike wilkinson,niklas backstrom,mike wilkinson,niklas backstrom,KO/TKO,Punch,1,1:19,79.0
win,Middleweight,magnus cedenblad,scott askham,magnus cedenblad,scott askham,U-DEC,,3,5:00,900.0
win,Welterweight,nicholas musoke,alexander yakovlev,nicholas musoke,alexander yakovlev,U-DEC,,3,5:00,900.0
win,Featherweight,dennis siver,charles rosa,dennis siver,charles rosa,U-DEC,,3,5:00,900.0
win,Welterweight,cathal pendred,gasan umalatov,cathal pendred,gasan umalatov,S-DEC,,3,5:00,900.0
win,Middleweight,krzysztof jotko,tor troeng,krzysztof jotko,tor troeng,U-DEC,,3,5:00,900.0
win,Lightweight,mairbek taisumov,marcin bandel,mairbek taisumov,marcin bandel,KO/TKO,Punch,1,1:01,61.0
win,Featherweight,zubaira tukhugov,ernest chavez,zubaira tukhugov,ernest chavez,KO/TKO,Punches,1,4:21,261.0
win,Welterweight,rory macdonald,tarec saffiedine,rory macdonald,tarec saffiedine,KO/TKO,Punch,3,1:28,688.0
win,Bantamweight,raphael assuncao,bryan caraway,raphael assuncao,bryan caraway,U-DEC,,3,5:00,900.0
win,Lightweight,chad laprise,yosdenis cedeno,chad laprise,yosdenis cedeno,U-DEC,,3,5:00,900.0
win,Middleweight,elias theodorou,bruno santos,elias theodorou,bruno santos,U-DEC,,3,5:00,900.0
win,Welterweight,nordine taleb,li jingliang,nordine taleb,li jingliang,S-DEC,,3,5:00,900.0
win,Bantamweight,mitch gagnon,roman salazar,mitch gagnon,roman salazar,SUB,Rear Naked Choke,1,2:06,126.0
win,Lightweight,daron cruickshank,anthony njokuani,daron cruickshank,anthony njokuani,U-DEC,,3,5:00,900.0
win,Lightweight,olivier aubin-mercier,jake lindsey,olivier aubin-mercier,jake lindsey,SUB,Inverted Triangle,2,3:22,502.0
win,Lightweight,paul felder,jason saggo,paul felder,jason saggo,S-DEC,,3,5:00,900.0
win,Flyweight,chris kelades,paddy holohan,chris kelades,paddy holohan,U-DEC,,3,5:00,900.0
win,Welterweight,albert tumenov,matt dwyer,albert tumenov,matt dwyer,KO/TKO,Kick,1,1:03,63.0
win,Bantamweight,pedro munhoz,jerrod sanders,pedro munhoz,jerrod sanders,Overturned,Guillotine Choke,1,0:39,39.0
win,Featherweight,jose aldo,chad mendes,jose aldo,chad mendes,U-DEC,,5,5:00,1500.0
win,Light Heavyweight,phil davis,glover teixeira,phil davis,glover teixeira,U-DEC,,3,5:00,900.0
win,Light Heavyweight,fabio maldonado,hans stringer,fabio maldonado,hans stringer,KO/TKO,Punches,2,4:06,546.0
win,Featherweight,darren elkins,lucas martins,darren elkins,lucas martins,S-DEC,,3,5:00,900.0
win,Lightweight,beneil dariush,diego ferreira,beneil dariush,diego ferreira,U-DEC,,3,5:00,900.0
win,Welterweight,neil magny,william macario,neil magny,william macario,KO/TKO,Punches,3,2:40,760.0
win,Lightweight,yan cabral,naoyuki kotani,yan cabral,naoyuki kotani,SUB,Rear Naked Choke,2,3:06,486.0
win,Flyweight,wilson reis,scott jorgensen,wilson reis,scott jorgensen,SUB,Arm Triangle,1,3:28,208.0
win,Featherweight,andre fili,felipe arantes,andre fili,felipe arantes,U-DEC,,3,5:00,900.0
win,Lightweight,gilbert burns,christos giagos,gilbert burns,christos giagos,SUB,Armbar,1,4:57,297.0
win,Lightweight,anthony rocco martin,fabricio camoes,anthony rocco martin,fabricio camoes,SUB,Kimura,1,4:16,256.0
win,Middleweight,luke rockhold,michael bisping,luke rockhold,michael bisping,SUB,Guillotine Choke,2,0:57,357.0
win,Lightweight,al iaquinta,ross pearson,al iaquinta,ross pearson,KO/TKO,Punch,2,1:39,399.0
win,Middleweight,robert whittaker,clint hester,robert whittaker,clint hester,KO/TKO,Knee,2,2:43,463.0
win,Heavyweight,soa palelei,walt harris,soa palelei,walt harris,KO/TKO,Punches,2,4:49,589.0
win,Lightweight,jake matthews,vagner rocha,jake matthews,vagner rocha,SUB,Rear Naked Choke,2,1:52,412.0
win,Light Heavyweight,anthony perosh,guto inocente,anthony perosh,guto inocente,SUB,Rear Naked Choke,1,3:46,226.0
win,Middleweight,sam alvey,dylan andrews,sam alvey,dylan andrews,KO/TKO,Punches,1,2:16,136.0
win,Flyweight,louis smolka,richie vaculik,louis smolka,richie vaculik,KO/TKO,Kick,3,0:18,618.0
win,Welterweight,chris clements,vik grujic,chris clements,vik grujic,KO/TKO,Knee,1,3:06,186.0
win,Middleweight,daniel kelly,luke zachrich,daniel kelly,luke zachrich,SUB,Kimura,1,4:27,267.0
win,Bantamweight,marcus brimage,jumabieke tuerxun,marcus brimage,jumabieke tuerxun,KO/TKO,Kick,1,2:58,178.0
win,Heavyweight,fabricio werdum,mark hunt,fabricio werdum,mark hunt,KO/TKO,Flying Knee,2,2:27,447.0
win,Welterweight,kelvin gastelum,jake ellenberger,kelvin gastelum,jake ellenberger,SUB,Rear Naked Choke,1,4:46,286.0
win,Featherweight,ricardo lamas,dennis bermudez,ricardo lamas,dennis bermudez,SUB,Guillotine Choke,1,3:18,198.0
